"排序","移动设备市场","使用量占比",
"1","iPhone 4S","21.72%",
"2","iPhone 5","17.88%",
"3","iPhone 5s","13.27%",
"4","iPhone 4","12.39%",
"5","iPad mini(WIFI)","6.13%",
"6","iPad 4(WIFI)","5.7%",
"7","iPad 2(WIFI)","4.47%",
"8","iPad Air(WIFI)","4.07%",
"9","iPhone 4(GSM)","3.45%",
"10","iPad 3(WIFI)","2.19%",
"11","iPad mini 2G(WIFI)","2.01%",
"12","iPhone 5c","1.58%",
"13","iPad 2(GSM)","1.17%",
"14","iPad 3(Global)","0.62%",
"15","iPad","0.58%",
"16","iPad mini(Global)","0.55%",
"17","iPad 4(Global)","0.54%",
"18","iPod Touch 4","0.45%",
"19","iPod Touch 5","0.44%",
"20","iPhone 3GS","0.29%",
"21","iPad Air(Cellular)","0.23%",
"22","iPad mini 2G(Cellular)","0.2%",
"23","iPad mini(GSM)","0.02%",
"24","iPod Touch 3","0.01%",
"25","iPad 4(GSM)","0.01%",
"26","iPad 3(CDMA)","0.01%",
"27","iPad 2(CDMA)","0.01%",
"28","iPhone 3G","0%",
"29","iPod Touch 2","0%",
"30","iPod Touch","0%",
"31","iPhone","0%",

"iPhone 4S移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.04.03","5.38%",
="2014.04.04","5.57%",
="2014.04.05","5.76%",
="2014.04.06","5.79%",
="2014.04.07","5.83%",
="2014.04.08","5.47%",
="2014.04.09","5.43%",
="2014.04.10","5.49%",
="2014.04.11","5.61%",
="2014.04.12","5.90%",
="2014.04.13","5.92%",
="2014.04.14","5.39%",
="2014.04.15","5.44%",
="2014.04.16","5.36%",
="2014.04.17","5.41%",
="2014.04.18","5.60%",
="2014.04.19","5.85%",
="2014.04.20","5.87%",
="2014.04.21","5.39%",
="2014.04.22","5.42%",
="2014.04.23","5.46%",
="2014.04.24","5.46%",
="2014.04.25","5.61%",
="2014.04.26","5.91%",
="2014.04.27","5.85%",
="2014.04.28","5.39%",
="2014.04.29","5.39%",
="2014.04.30","5.51%",

"iPad 2(WIFI)移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.02.01","4.70%",
="2014.02.02","4.74%",
="2014.02.03","4.82%",
="2014.02.04","4.81%",
="2014.02.05","4.85%",
="2014.02.06","5.01%",
="2014.02.07","4.93%",
="2014.02.08","4.88%",
="2014.02.09","5.04%",
="2014.02.10","4.77%",
="2014.02.11","4.65%",
="2014.02.12","4.62%",
="2014.02.13","4.67%",
="2014.02.14","4.51%",
="2014.02.15","4.81%",
="2014.02.16","4.87%",
="2014.02.17","4.46%",
="2014.02.18","4.42%",
="2014.02.19","4.37%",
="2014.02.20","4.36%",
="2014.02.21","4.47%",
="2014.02.22","4.86%",
="2014.02.23","4.90%",
="2014.02.24","4.42%",
="2014.02.25","4.43%",
="2014.02.26","4.44%",
="2014.02.27","4.38%",
="2014.02.28","4.45%",
="2014.03.01","4.83%",
="2014.03.02","4.86%",
="2014.03.03","4.27%",
="2014.03.04","4.25%",
="2014.03.05","4.19%",
="2014.03.06","4.26%",
="2014.03.07","4.33%",
="2014.03.08","4.71%",
="2014.03.09","4.70%",
="2014.03.10","4.24%",
="2014.03.11","4.21%",
="2014.03.12","4.30%",
="2014.03.13","4.20%",
="2014.03.14","4.26%",
="2014.03.15","4.58%",
="2014.03.16","4.60%",
="2014.03.17","4.21%",
="2014.03.18","4.18%",
="2014.03.19","4.22%",
="2014.03.20","4.20%",
="2014.03.21","4.33%",
="2014.03.22","4.71%",
="2014.03.23","4.74%",
="2014.03.24","4.26%",
="2014.03.25","4.27%",
="2014.03.26","4.23%",
="2014.03.27","4.23%",
="2014.03.28","4.36%",
="2014.03.29","4.78%",
="2014.03.30","4.73%",
="2014.03.31","4.23%",
="2014.04.01","4.14%",
="2014.04.02","4.16%",
="2014.04.03","4.15%",
="2014.04.04","4.34%",
="2014.04.05","4.59%",
="2014.04.06","4.61%",
="2014.04.07","4.66%",
="2014.04.08","4.21%",
="2014.04.09","4.17%",
="2014.04.10","4.21%",
